id	trait	sample_size	ncase	year	consortium
finn-b-RX_PARACETAMOL_NSAID	Paracetamol of NSAID medication		172938	2021	NA
finn-b-M13_MUSCULOSKELETAL	Diseases of the musculoskeletal system and connective tissue		115768	2021	NA
finn-b-I9_CVD	Cardiovascular diseases		111108	2021	NA
finn-b-RX_ANTIHYP	Antihypertensive medication - note that there are other indications		107287	2021	NA
finn-b-J10_RESPIRATORY	Diseases of the respiratory system		107261	2021	NA
finn-b-K11_GIDISEASES	Gastrointestinal diseases		107110	2021	NA
finn-b-N14_GENITOURINARY	Genitourinary diseases		103238	2021	NA
finn-b-FG_CVD	Cardiovascular diseases (excluding rheumatic etc)		101866	2021	NA
finn-b-Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_EXAM_INVES	Persons encountering health services for examination and investigation		100715	2021	NA
finn-b-PAIN	Pain (limb, back, neck, head abdominally)		87242	2021	NA
finn-b-O15_PREG_BIRTH_PUERP	Pregnancy, childbirth and the puerperium		80417	2021	NA
finn-b-E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases		77918	2021	NA
finn-b-GAST_OPER	Any gastric operation		76241	2021	NA
finn-b-H7_EYE	Diseases of the eye and adnexa		75836	2021	NA
finn-b-M13_ARTHROPATHIES	Arthropathies		71571	2021	NA
finn-b-G6_NEURO	Neurological diseases		70240	2021	NA
finn-b-RX_STATIN	Statin medication		68782	2021	NA
finn-b-O15_DELIVERY	Delivery		63978	2021	NA
finn-b-I9_OTHHEART	Other heart diseases (I9_OTHHEART)		62081	2021	NA
finn-b-COPD_ASTHMA_INFECTIONS	COPD/asthma related infections		58925	2021	NA
finn-b-PULM_INFECTIONS	COPD/asthma/ILD related infections		58925	2021	NA
finn-b-ANTIDEPRESSANTS	Depression medications		58842	2021	NA
finn-b-O15_DELIV_SPONT	Single spontaneous delivery		58719	2021	NA
finn-b-FG_OTHHEART	Other heart diseases (FG_OTHHEART)		58173	2021	NA
finn-b-AB1_INFECTIONS	Certain infectious and parasitic diseases		57998	2021	NA
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN	Symptoms and signs involving the digestive system and abdomen		56824	2021	NA
finn-b-DM_COMORB_EXMORE	Diabetes-related co-morbidities/complications (more controls excluded)		56591	2021	NA
finn-b-I9_HYPERTENSION	Hypertensive diseases		55955	2021	NA
finn-b-FG_HYPERTENSION	Hypertensive diseases (excluding secondary)		55955	2021	NA
finn-b-I9_HYPTENS	Hypertension		55917	2021	NA
finn-b-I9_HYPTENS_EXNONE	Hypertension (no controls excluded)		55917	2021	NA
finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS	Symptoms and signs involving the circulatory and respiratory systems		55669	2021	NA
finn-b-N14_FEMALEGENNONINF	Noninflammatory disorders of female genital tract		54610	2021	NA
finn-b-F5_PSYCH	Psychiatric diseases		54496	2021	NA
finn-b-M13_DORSOPATHY	Dorsopathies		54110	2021	NA
finn-b-Z21_OTHER_SPECIAL_EXAM_INVES_PERSONS_WO_COMPLA_REPOR_DIAGNOSIS	Other special examinations and investigations of persons without complaint or reported diagnosis		53193	2021	NA
finn-b-KRA_PSY_ANYMENTAL_SUICID_PREG_NERV	Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders		52473	2021	NA
finn-b-CD2_BENIGN	Benign neoplasms		52384	2021	NA
finn-b-CD2_BENIGN_EXALLC	Benign neoplasms (all cancers excluded)		52384	2021	NA
finn-b-KRA_PSY_ANYMENTAL	Any mental disorder		52208	2021	NA
finn-b-VWXY20_SUICI_OTHER_INTENTI_SELF_H	Suicide or other Intentional self-harm		52208	2021	NA
finn-b-L12_SKIN	Diseases of the skin and subcutaneous tissue		51428	2021	NA
finn-b-M13_SOFTTISSUE	Soft tissue disorders		51151	2021	NA
finn-b-J10_UPPERDIS	Other diseases of upper respiratory tract		50943	2021	NA
finn-b-R18_ABDOMI_PELVIC_PAIN	Abdominal and pelvic pain		49416	2021	NA
finn-b-RHEUMA_ENDPOINTS	Finngen Rheumatological endpoints		45958	2021	NA
finn-b-R18_GENERAL_SYMPTOMS_SIGNS	General symptoms and signs		45793	2021	NA
finn-b-M13_OTHERJOINT	Other joint disorders		43972	2021	NA
finn-b-I9_HYPTENSESS_EXNONE	"""Hypertension, essential"" (no controls excluded)"		42857	2021	NA
finn-b-I9_HYPTENSESS	Hypertension, essential		42857	2021	NA
finn-b-G6_EPIPAROX	Episodal and paroxysmal disorders		42685	2021	NA
finn-b-AUTOIMMUNE	Autoimmune diseases		42202	2021	NA
finn-b-H8_EAR	Diseases of the ear and mastoid process		41038	2021	NA
finn-b-M13_ARTHROSIS_INCLAVO	Artrosis, including avohilmo		39859	2021	NA
finn-b-M13_DORSOPATHYOTH	Other dorsopathies, not elsewhere classified		39640	2021	NA
finn-b-I9_VHD	Valvular heart disease including rheumatic fever		38209	2021	NA
finn-b-I9_VHD_EXNONE	Valvular heart disease including rheumatic fever (no controls excluded)		38209	2021	NA
