exposure	outcome	n_snp	OR_noHLA	L95_noHLA	U95_noHLA	P_ivw_noHLA	P_fdr_noHLA	OR_primary	L95_primary	U95_primary	P_ivw_primary	P_fdr_primary	delta_OR	P_changed_dir
omp	crohn	7	0.886551186539245	0.750007374610496	1.04795370413834	0.158212522093813	0.976510481846338	0.835704594388312	0.714735475401862	0.977147760420111	0.0244631887423943	0.888217786178242	0.0508465921509325	TRUE
vacA	stroke_isch	14	1.02868028794959	0.99442793967936	1.06411243348335	0.101714372934205	0.976510481846338	1.03525753478371	1.00230477324741	1.06929368385027	0.0357739426781278	0.888217786178242	-0.00657724683412475	TRUE
catalase	crc	8	0.935626767841603	0.873847049645915	1.00177422245282	0.0562441902071263	0.976510481846338	0.93954882960295	0.883582224493662	0.999060391594156	0.0465908725352687	0.888217786178242	-0.00392206176134735	TRUE
vacA	t2d	5	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734	0.976510481846338	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734	0.888217786178242	-4.44089209850063e-16	FALSE
cagA	ida	13	1.02597620672326	0.986499311486017	1.06703285497141	0.200189484620959	0.976510481846338	1.03973989667962	0.997305282722103	1.08398007257781	0.0667912224774919	0.888217786178242	-0.0137636899563598	FALSE
omp	sle	6	0.955002091314433	0.755849323758127	1.20662804840557	0.699599793705465	0.976510481846338	1.50167253807872	0.964857537405077	2.33715374985255	0.0716260589519805	0.888217786178242	-0.546670446764287	FALSE
vacA	ida	14	0.96948631546934	0.932842343997965	1.00756973772662	0.114937516490513	0.976510481846338	0.968786788062717	0.935671357235493	1.00307424553198	0.0739342091228088	0.888217786178242	0.000699527406623379	FALSE
ureA	crc	10	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761	0.976510481846338	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761	0.888217786178242	-4.44089209850063e-16	FALSE
catalase	parkinson	8	1.06464312810973	0.966885291598679	1.17228486158597	0.202412123794709	0.976510481846338	1.07730381486818	0.988634135198976	1.1739261959592	0.0892901102466766	0.888217786178242	-0.012660686758452	FALSE
vacA	uc	14	0.951931058838096	0.885743715085823	1.02306426266069	0.180300543639809	0.976510481846338	0.942858556953148	0.880770715406545	1.00932313355745	0.0904580595897151	0.888217786178242	0.0090725018849479	FALSE
