exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
omp	asthma	3	0.757957665916864	0.639394645084487	0.898505841015025	0.00140737127221798	0.759897302342233	0.0174373777855899	0.942787832143851	0.829501408233303	0.466486369159987	0.474285689973408	0.156218211216196	0.156218211216196
cagA	sle	4	0.832856261878231	0.713495484100483	0.972184923951239	0.0204799444612869	0.848750723246787	0.0902486545851216	0.774595406623547	0.37866282302556	0.766604706565117	0.76946453915824	0.976510481846338	1
omp	ms	4	1.15718297840322	1.01440818195613	1.32005288337083	0.0297860324184987	1.15237283886079	0.0786442395489541	1.01474763632534	0.942712506967038	0.514910156416621	0.727653897140189	0.976510481846338	1
vacA	t2d	5	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734	0.947114279342736	0.0471329451499925	0.859842830539783	0.170801029953878	0.27313047119817	0.344288936440121	0.976510481846338	1
catalase	crc	8	0.935626767841603	0.873847049645915	1.00177422245282	0.0562441902071263	0.972785901478446	0.565191323367379	1.00176501381692	0.979797691153897	0.280374181720107	0.34668478536899	0.976510481846338	1
ureA	crc	10	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761	0.934263111552934	0.0696841109812746	0.942071498935429	0.565883769637871	0.940006922520812	0.304936014539472	0.976510481846338	1
hpylori_general	stroke_isch	11	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947	0.890448015206311	0.344848127070952	0.93413278818683	0.836183190363502	0.76446577733887	0.363124169010781	0.976510481846338	1
vacA	stroke_isch	14	1.02868028794959	0.99442793967936	1.06411243348335	0.101714372934205	1.04115228179516	0.0916534791603934	1.08438039046607	0.0724639591825924	0.18323296224433	0.591954027736997	0.976510481846338	1
vacA	ida	14	0.96948631546934	0.932842343997965	1.00756973772662	0.114937516490513	0.945808111886402	0.0424689113344721	0.973716086036933	0.560246365316504	0.914011287477329	0.392927135451857	0.976510481846338	1
omp	uc	7	1.14905949758039	0.965371723893091	1.36769877996334	0.117948164622744	1.13505878639609	0.209762864429366	1.07085900461906	0.767593818189519	0.735378858135224	0.0815679062912947	0.976510481846338	1
