exposure	outcome	eas_id	n_snp	OR_eas	L95_eas	U95_eas	P_eas	OR_wmd_eas	P_wmd_eas	OR_eur	L95_eur	U95_eur	P_eur	dir_concordant
cagA	sle	ebi-a-GCST90018697	5	0.474784840439594	0.268516262070424	0.839504628036752	0.0104187676296546	0.605041000889849	0.108180197550945	1.27661369526024	0.689872598015012	2.36238188270603	0.436735489601922	FALSE
omp	cad	bbj-a-159	6	0.913316099088614	0.84934739535039	0.982102613631168	0.0143865542356762	0.939587853540475	0.0798556739410152	1.00781476977956	0.957065543065002	1.06125501805558	0.767766049384271	FALSE
omp	t2d	ebi-a-GCST010118	7	0.950228772166931	0.903839093231738	0.998999408429401	0.045586446947615	0.948103004949868	0.02444273546322	1.01286087149939	0.906814643583641	1.1313085339693	0.820836625267591	FALSE
vacA	parkinson	ebi-a-GCST90018674	7	1.38397009023158	0.991364044515942	1.93205838082501	0.0562562414930716	1.40473566685198	0.0934791538914894	1.01180353416736	0.942661345458234	1.08601715418373	0.745233362871166	TRUE
omp	uc	ebi-a-GCST90018713	7	1.54164391515176	0.966734777296316	2.45844673941626	0.0690773410456424	1.41953157638057	0.18360649825357	1.11892929436168	0.968228446912783	1.29308612009156	0.127874219184332	TRUE
ureA	atopic	bbj-a-90	6	0.879187341839583	0.752018418468113	1.02786097131174	0.10625360764329	0.877327931844997	0.189375263831441	0.983667493550873	0.941055557681809	1.02820894045007	0.46611631680921	TRUE
catalase	itp	ebi-a-GCST90018645	3	2.07499568915936	0.852059304607318	5.0531777386249	0.107956749197355	2.01556918121026	0.194339194637865	1.13039575778718	0.922291629730531	1.38545610524146	0.237710648816988	TRUE
catalase	sle	ebi-a-GCST90018697	3	1.6985496447093	0.888363945733788	3.24762267694129	0.109147225572457	1.65896200007097	0.192164268313888	0.965964900520379	0.851683746485437	1.0955805988876	0.589866264848322	FALSE
hpylori_general	t2d	ebi-a-GCST010118	5	1.16359449256679	0.962281340595201	1.4070231708892	0.117983088859999	1.1797824107975	0.170975864578261					FALSE
ureA	asthma	bbj-a-88	6	1.0618537422048	0.977471231021518	1.15352077283747	0.155424827978987	1.05258530789116	0.315505901652872	0.982390781667693	0.814091275925935	1.18548334375403	0.852991213242755	FALSE
omp	sle	ebi-a-GCST90018697	7	0.731544482395298	0.474355422513571	1.12817795333138	0.157264201328465	0.688009165852892	0.159512037180769	1.50167253807872	0.964857537405077	2.33715374985255	0.0716260589519805	FALSE
cagA	itp	ebi-a-GCST90018645	5	0.667656431924222	0.378725646504791	1.17701326858556	0.162541743667934	0.740030485922696	0.435335886927267	0.980693146416895	0.841927669965413	1.14232977693747	0.802231903569339	TRUE
cagA	ida	ebi-a-GCST90018652	5	1.0940541865048	0.963257421388451	1.24261130662598	0.166437106583918	1.09573145883453	0.261034985224639	1.03973989667962	0.997305282722103	1.08398007257781	0.0667912224774919	TRUE
cagA	pancan	bbj-a-140	9	1.16783205284272	0.934595370805426	1.45927504698798	0.172277149275899	1.17090469761849	0.299995994635912	0.988125969068118	0.882471634519798	1.10642981887811	0.835981656058627	FALSE
