mvmr_exposure_label	mvmr_outcome_label	exposure	is_antigen	nsnp	b	se	pval	OR	L95	U95
omp	crohn	Helicobacter pylori OMP antibody levels || id:ebi-a-GCST90006914	TRUE	0	0.0130273078677028	0.0415039826638948	0.753611489442388	1.01311253292508	0.933961092798571	1.09897190823477
omp	crohn	Years of schooling || id:ieu-a-1239	FALSE	114	-0.403639544170804	0.19411532910514	0.0375824320161117	0.667884820862448	0.456527842660902	0.977092944295613
omp	crohn	body mass index || id:ieu-b-40	FALSE	403	0.0295822938081866	0.100618580968446	0.768754630168056	1.03002419659785	0.845666567859822	1.25457229350103
omp	crohn	smoking initiation || id:ieu-b-4877	FALSE	21	-0.0362309586294271	0.15875615384977	0.819477029611753	0.964417527208937	0.706527594085105	1.31643997286788
vacA	stroke_isch	Helicobacter pylori VacA antibody levels || id:ebi-a-GCST90006916	TRUE	0	-0.0120289659294958	0.012559785593288	0.338195612982406	0.988043092860863	0.96401719664018	1.01266777890731
vacA	stroke_isch	Years of schooling || id:ieu-a-1239	FALSE	114	-0.37696287405808	0.0772198222403078	1.05183000154945e-06	0.685941539649059	0.589598356467484	0.798027658413375
vacA	stroke_isch	body mass index || id:ieu-b-40	FALSE	403	0.0923323971389258	0.040122534092965	0.0213769190840702	1.09672931118511	1.01378639820085	1.18645819686196
vacA	stroke_isch	smoking initiation || id:ieu-b-4877	FALSE	21	0.0808321409596725	0.0635423015603318	0.203337707793562	1.08418889038482	0.957230777202174	1.22798553706094
catalase	crc	Helicobacter pylori Catalase antibody levels || id:ebi-a-GCST90006912	TRUE	0	-0.00833121012719717	0.0156587507672514	0.594692614084962	0.991703398227381	0.961729203072342	1.02261179853323
catalase	crc	Years of schooling || id:ieu-a-1239	FALSE	111	-0.0182907175476556	0.0944807788700096	0.846495407482083	0.98187554241205	0.815892197107909	1.18162618076791
catalase	crc	body mass index || id:ieu-b-40	FALSE	400	0.0291957316074651	0.047488500153592	0.538689567143858	1.02962610512613	0.93811594516817	1.1300627836223
catalase	crc	smoking initiation || id:ieu-b-4877	FALSE	21	0.100116208145913	0.0756190698830747	0.18551815505334	1.10529935540154	0.953041176686923	1.28188235192317
vacA	t2d	Helicobacter pylori VacA antibody levels || id:ebi-a-GCST90006916	TRUE	0	0.010233841851734	0.0203877337854545	0.61569514070701	1.01028638670352	0.970711359097102	1.05147485253272
vacA	t2d	Years of schooling || id:ieu-a-1239	FALSE	107	-0.303655690376683	0.121512242018359	0.012455415204191	0.738114962788977	0.581688798504516	0.936606824291017
vacA	t2d	body mass index || id:ieu-b-40	FALSE	368	0.917534351884795	0.0624904925105953	8.31079938950662e-49	2.50311098406667	2.2145583355324	2.82926148208641
vacA	t2d	smoking initiation || id:ieu-b-4877	FALSE	21	0.165235676191808	0.0987323505965254	0.0942147875927969	1.1796711063465	0.972116397693872	1.43154042298853
cagA	ida	Helicobacter pylori CagA antibody levels || id:ebi-a-GCST90006911	TRUE	0	-0.00201516608213021	0.0110897947101659	0.855807523402261	0.99798686300183	0.976528675296014	1.01991657175077
cagA	ida	Years of schooling || id:ieu-a-1239	FALSE	112	-0.19033217220923	0.0800257029183474	0.0173885180111439	0.826684486718511	0.706676312771367	0.967072517120229
