exposure	outcome	causal_beta_raw	sd_raw	pval_raw	OR_raw	L95_raw	U95_raw	global_p	causal_beta_corrected	sd_corrected	pval_corrected	OR_corrected	L95_corrected	U95_corrected	n_outliers
cagA	afib	0.00935628867683477	0.0127924471980077	0.478579656469986	1.00940019557411	0.984405958230917	1.03502904092138	0.181							0
cagA	alzheimer	0.00760230758418437	0.0117820536127331	0.534869668855836	1.00763127849321	0.984628843453651	1.03117108558038	0.567							0
cagA	atopic	0.0163418511681831	0.0162847131967856	0.34183131994603	1.01647610956452	0.9845444947007	1.04944335870724	0.476							0
cagA	cad	-0.0027451238818911	0.0162972604656043	0.872838233740197	0.997258640525297	0.965906969382333	1.02962793273801	0.23							0
cagA	crc	0.0022917156601228	0.0201269494394314	0.911086064624848	1.00229434364761	0.963524748669538	1.04262392086468	0.534							0
cagA	crohn	-0.00504131319261038	0.071619484732051	0.945270841649673	0.994971372899602	0.86466294818122	1.14491783760605	0.001	-0.00629010702345646	0.0455264671882984	0.893525393448411	0.993729634286389	0.908898381382233	1.08647853961099	2
cagA	ida	0.0389705825267029	0.0212596617811115	0.0897842523775011	1.03973989667962	0.997305282722103	1.08398007257781	0.062							0
cagA	itp	-0.0194956650686721	0.0778395438851462	0.806146646422382	0.980693146416895	0.841927669965413	1.14232977693747	0.248							0
cagA	ms	-0.619110629602565	0.74418036531491	0.466475808248396	0.538423082267588	0.125217363275879	2.31516946160113	0.001							1
cagA	pancan	-0.0119450903047841	0.0576956849865666	0.839189349816045	0.988125969068118	0.882471634519798	1.10642981887811	0.262							0
cagA	parkinson	0.0033356044454775	0.0302728104322829	0.914680666649011	1.00334117376461	0.945539983092143	1.06467577148797	0.658							0
cagA	ra	-0.0507127541173506	0.0711462967462296	0.494037146274578	0.950551673375501	0.826827248002279	1.0927899218852	0.001	-0.0135000836178569	0.02411885257364	0.590985509871677	0.986590633821135	0.941036798274715	1.03434964554854	1
cagA	sle	0.244211021700371	0.314009877906798	0.480169117665418	1.27661369526024	0.689872598015012	2.36238188270603	0.001	-0.0460319786747766			0.955011421702732			4
cagA	stroke_isch	-0.0160228447148054	0.0139929322452071	0.278846981820412	0.984104838204123	0.957481392137231	1.01146856798441	0.775							0
cagA	uc	0.0503724246631689	0.0391019878344915	0.226673806178424	1.05166268857476	0.974074517597546	1.13543100713497	0.274							0
catalase	afib	0.0081827584351814	0.0156752224146214	0.615798882467238	1.00821632870632	0.977711465528764	1.03967295189722	0.332							0
catalase	alzheimer	0.00126838907917913	0.0123601175575998	0.920790649273311	1.00126919382481	0.977304075646236	1.02582197648124	0.767							0
catalase	atopic	0.0297459606133835	0.0257564986846744	0.286031915769656	1.03019279116367	0.979476751636693	1.08353484163068	0.121							0
catalase	cad	-0.0162012954278364	0.0162832591458608	0.358169766689659	0.983929239662357	0.953022769323425	1.01583800495117	0.392							0
catalase	crc	-0.0623554874473419	0.0313344068024535	0.0817729241619204	0.93954882960295	0.883582224493662	0.999060391594156	0.375							0
catalase	crohn	-0.00476590029812195	0.0571982570294525	0.935642327870996	0.995245438584224	0.889696857278708	1.11331570401672	0.177							0
catalase	ida	-0.00530542503948319	0.0251061212232695	0.837921486149477	0.994708623871812	0.946945798262725	1.04488054989018	0.392							0
catalase	itp	0.122567799538943	0.0937844093295352	0.227557013597093	1.13039575778718	0.940588399392361	1.35850555891263	0.597							0
catalase	ms	-0.0412248089099293	0.0600406512737059	0.541636441134223	0.959613376059984	0.85307783646079	1.0794534708974	0.419							0
catalase	pancan	0.0201908694450886	0.086905327450877	0.822113590032133	1.02039608387514	0.860584411421262	1.2098849969501	0.242							0
catalase	parkinson	0.0744614520499419	0.043822654044753	0.127716229528097	1.07730381486818	0.988634135198976	1.1739261959592	0.458							0
catalase	ra	-0.035149596033519	0.0179255568554747	0.0855435893527374	0.96546097632144	0.932129348977221	0.999984495523407	0.969							0
catalase	sle	-0.034627780294778	0.0642409338454225	0.609269277995977	0.965964900520379	0.851683746485437	1.0955805988876	0.378							0
catalase	stroke_isch	0.0152534166376356	0.0218518003362571	0.507670110162228	1.0153703437534	0.972800637912648	1.0598028977305	0.493							0
catalase	uc	0.00649877872689244	0.0332682246900002	0.849993137973761	1.00651994160882	0.942983077718069	1.07433782937843	0.792							0
groEL	afib	-0.0206096570283362	0.0367549812535623	0.614133754062146	0.979601270420346	0.911513002255675	1.05277560126343	0.329							0
groEL	alzheimer	0.0408379810793169	0.047423945520267	0.452495197088649	1.04168331946547	0.949221644171059	1.14315149124122	0.145							0
groEL	atopic	0.0221758432588229	0.0614411146936431	0.742072090007744	1.02242355495406	0.906423410554637	1.15326889569771	0.103							0
groEL	cad	-0.0359165994263319	0.0370607114422777	0.403965423610032	0.964720748391929	0.897129018571621	1.03740499204863	0.21							0
groEL	crc	0.0347872479419758	0.0545723027896736	0.569148898244425	1.03539940201144	0.930368564410238	1.15228734363485	0.47							0
groEL	crohn	-0.00835836757525602	0.0753241615934908	0.918651218508808	0.991676466459555	0.855564559621963	1.14944243899518	0.599							0
groEL	ida	-0.0737562675981261	0.05340071039468	0.261121157333815	0.928898068810116	0.836589592762691	1.03139177166877	0.337							0
groEL	itp	-0.00675850359990992	0.216811623990192	0.977090072438073	0.993264283720583	0.649398137973312	1.51921275966995	0.373							0
groEL	pancan	0.00280971334703141	0.1571120964317	0.98685468437325	1.00281366429105	0.737027557780742	1.36444727835809	0.455							0
groEL	parkinson	0.0278723602058823	0.0810841087285918	0.753718774295718	1.02826442858491	0.877171727892809	1.20538282467564	0.453							0
groEL	ra	0.0344611945612707	0.104435743190261	0.763117495677611	1.03506186156712	0.84346838191453	1.27017571759953	0.13							0
groEL	sle	0.0687797264136897	0.169267836135862	0.711743570549456	1.07120022604343	0.768753249858142	1.49263749387367	0.135							0
groEL	stroke_isch	0.0402135795145912	0.0149688800405664	0.0746369065288146	1.04103309379293	1.01093391773708	1.07202843168819	0.921							0
